asiakas,tuote,kpl,hinta,pvm
1007751,10958,1,52.40,2018-04-15
1007751,6992,10,5.20,2018-04-15
1007751,6394,20,19.07,2018-04-15
1007751,4855,4,38.68,2018-04-15
1007751,11268,2,104.33,2018-04-15
1007751,8687,8,21.89,2018-04-15
1007751,8429,2,49.58,2018-04-15
1007751,16724,3,137.99,2018-04-15
1007751,10775,2,17.30,2018-04-15
1007751,16823,4,23.09,2018-04-15
1007751,8516,1,59.22,2018-04-15
1007751,12432,1,23.06,2018-04-15
1007751,5599,4,13.87,2018-04-15
1007751,12238,1,19.67,2018-04-15
1007751,1229,2,25.08,2018-04-15
1007751,3914,2,27.03,2018-04-15
1007751,8589,2,15.59,2018-04-15
1007751,13270,1,316.83,2018-04-15
1007751,12490,1,110.84,2018-04-15
1007751,12111,1,8.14,2018-04-15
1007751,1701,10,5.20,2018-04-15
1007751,6236,7,30.45,2018-04-15
1007751,12091,2,14.69,2018-04-15
1007751,13593,3,216.90,2018-04-15
1007751,13351,1,311.69,2018-04-15
1007751,19911,2,260.97,2018-04-15
1007751,11957,1,13.00,2018-04-15
1007751,10677,1,18.38,2018-04-15
1007751,6178,20,41.62,2018-04-15
1007751,9635,1,115.29,2018-04-15
1007751,5036,10,22.37,2018-04-15
1007751,8957,2,28.44,2018-04-15
1007751,7609,10,8.02,2018-04-15
1007751,5778,7,47.60,2018-04-15
1007751,5502,8,59.52,2018-04-15
1007751,16915,3,22.94,2018-04-15
1007751,1360,2,15.74,2018-04-15
1007751,12244,1,22.79,2018-04-15
1007751,12344,1,97.24,2018-04-15
1007751,17118,2,13.00,2018-04-15
1007751,13353,1,198.11,2018-04-15
1007751,18805,24,10.27,2018-04-15
1007751,17060,2,20.03,2018-04-15
1007751,13519,2,407.31,2018-04-15
1007751,19223,1,202.71,2018-04-15
1007751,18765,9,42.28,2018-04-15
1007751,13458,2,154.36,2018-04-15
1007751,12254,1,25.86,2018-04-15
1007751,5445,2,13.27,2018-04-15
1007751,5696,10,13.87,2018-04-15
1007751,12390,2,14.93,2018-04-15
1007751,11114,1,9.22,2018-04-15
1007751,9392,5,40.84,2018-04-15
1007751,2615,4,34.63,2018-04-15
1007751,12070,5,23.43,2018-04-15
1007751,15475,2,99.34,2018-04-15
1007751,2540,6,16.40,2018-04-15
1007751,13324,1,215.89,2018-04-15
1007751,3327,1,133.19,2018-04-15
1007751,5606,1,55.50,2018-04-15
1007751,8649,2,45.47,2018-04-15
1007751,8734,2,48.23,2018-04-15
1007751,12846,1,28.80,2018-04-15
1007751,16976,2,13.99,2018-04-15
1007751,12436,1,19.61,2018-04-15
1007751,12164,4,23.84,2018-04-15
1007751,17214,1,24.63,2018-04-15
1007751,12265,1,28.05,2018-04-15
1007751,16902,0,84.24,2018-04-15
1007751,1316,3,43.18,2018-04-15
1007751,116310,1,42.07,2018-04-15
1007751,16972,1,21.86,2018-04-15
1007751,4921,10,24.08,2018-04-15
1007751,12037,1,28.68,2018-04-15
1007751,13492,1,84.30,2018-04-15
1007751,13407,4,98.67,2018-04-15
1007751,4177,1,31.08,2018-04-15
1007751,5491,8,13.48,2018-04-15
1007751,9669,2,8.98,2018-04-15
1007751,6427,160,11.47,2018-04-15
1007751,17243,1,51.65,2018-04-15
1007751,13339,1,148.44,2018-04-15
1007751,16762,1,25.62,2018-04-15
1007751,1201,3,25.44,2018-04-15
1007751,11486,2,70.66,2018-04-15
1007751,12088,1,17.57,2018-04-15
1007751,205973,0,144.15,2018-04-15
1007751,12394,2,26.07,2018-04-15
1007751,223069,1,0.00,2018-04-15
1007751,17128,5,17.54,2018-04-15
1007751,6342,1,15.08,2018-04-15
1007751,18764,60,5.14,2018-04-15
1007751,1687,20,9.04,2018-04-15
1007751,12208,1,11.65,2018-04-15
1007751,12003,2,24.81,2018-04-15
1007751,4767,2,77.72,2018-04-15
1007751,9824,4,47.12,2018-04-15
1007751,10716,1,44.69,2018-04-15
1007751,8736,2,45.92,2018-04-15
1007751,6129,4,59.52,2018-04-15
1007751,12825,2,19.61,2018-04-15
1007751,13268,1,391.06,2018-04-15
1007751,16815,1,207.24,2018-04-15
1007751,7636,-8,33.24,2018-04-15
1007751,5117,5,23.09,2018-04-15
1007751,16798,1,15.44,2018-04-15
1007751,10971,2,26.46,2018-04-15
1007751,6440,10,5.20,2018-04-15
1007751,4169,2,25.44,2018-04-15
1007751,110506,20,6.55,2018-04-15
1007751,2296,1,140.79,2018-04-15
1007751,15224,6,87.15,2018-04-15
1007751,14978,2,71.89,2018-04-15
1007751,16866,2,26.07,2018-04-15
1007751,2303,2,160.76,2018-04-15
1007751,10435,2,106.43,2018-04-15
1007751,15402,4,87.66,2018-04-15
1007751,13214,1,223.46,2018-04-15
1007751,15800,2,105.65,2018-04-15
1007751,1408,8,15.80,2018-04-15
1007751,12980,2,108.50,2018-04-15
1007751,8398,1,75.02,2018-04-15
1007751,8324,2,40.84,2018-04-15
1007751,9838,2,14.93,2018-04-15
1007751,110865,6,49.46,2018-04-15
1007751,16775,2,18.23,2018-04-15
1007751,12830,1,24.96,2018-04-15
1007751,19963,50,0.69,2018-04-15
1007751,4236,2,19.97,2018-04-15
1007751,12280,4,10.15,2018-04-15
1007751,12161,3,11.77,2018-04-15
1007751,2997,1,40.09,2018-04-15
1007751,6980,30,5.20,2018-04-15
1007751,4308,1,23.66,2018-04-15
1007751,4748,1,36.91,2018-04-15
1007751,4521,1,47.00,2018-04-15
1007751,6344,20,16.01,2018-04-15
1007751,5935,2,333.70,2018-04-15
1007751,13403,1,108.20,2018-04-15
1007751,16723,2,31.80,2018-04-15
1007751,4470,2,35.77,2018-04-15
1007751,5128,3,43.57,2018-04-15
1007751,5795,3,62.43,2018-04-15
1007751,8363,2,52.37,2018-04-15
1007751,12730,1,13.24,2018-04-15
1007751,2230,1,11.08,2018-04-15
1007751,2542,3,99.73,2018-04-15
1007751,8672,4,29.67,2018-04-15
1007751,2117,13,34.48,2018-04-15
1007751,6447,30,16.01,2018-04-15
1007751,17245,1,51.65,2018-04-15
1007751,7634,2,22.40,2018-04-15
1007751,12283,2,9.04,2018-04-15
1007751,13603,36,12.07,2018-04-15
1007751,9495,4,68.44,2018-04-15
1007751,19221,1,2280.46,2018-04-15
1007751,16322,2,86.67,2018-04-15
1007751,6912,1,64.12,2018-04-15
1007751,8316,2,41.83,2018-04-15
1007751,220238,1,222.59,2018-04-15
1007751,4523,5,46.07,2018-04-15
1007751,10645,1,21.56,2018-04-15
1007751,12811,1,17.03,2018-04-15
1007751,2158,4,8.29,2018-04-15
1007751,19222,1,625.00,2018-04-15
1007751,3491,2,18.38,2018-04-15
1007751,16029,1,12.61,2018-04-15
1007751,1208,6,20.30,2018-04-15
1007751,6780,10,16.55,2018-04-15
1007751,2223,1,17.66,2018-04-15
1007751,12717,1,11.77,2018-04-15
1007751,5442,2,81.47,2018-04-15
1007751,12414,1,25.68,2018-04-15
1007751,13315,1,114.90,2018-04-15
1007751,2894,4,34.63,2018-04-15
1007751,4104,2,21.02,2018-04-15
1007751,18870,42,9.49,2018-04-15
1007751,12899,1,9.22,2018-04-15
1007751,19310,1,54.30,2018-04-15
1007751,16734,6,23.54,2018-04-15
1007751,5707,1,64.54,2018-04-15
1007751,12120,1,14.20,2018-04-15
1007751,12849,2,23.84,2018-04-15
1007751,2146,1,25.26,2018-04-15
1007751,12423,1,14.69,2018-04-15
1007751,19288,3,29.07,2018-04-15
1007751,17226,2,16.70,2018-04-15
1007751,10791,2,8.14,2018-04-15
1007751,7232,1,34.69,2018-04-15
1007751,19965,500,3.72,2018-04-15
1007751,4563,3,25.98,2018-04-15
1007751,2784,7,44.51,2018-04-15
1007751,12740,2,21.50,2018-04-15
1007751,5706,3,13.66,2018-04-15
1007751,13175,2,15.68,2018-04-15
1007751,5635,2,15.80,2018-04-15
1007751,16122,2,15.58,2018-04-15
1007751,13515,2,150.91,2018-04-15
1007751,8889,2,27.90,2018-04-15
1007751,6706,10,18.05,2018-04-15
1007751,6182,4,62.43,2018-04-15
1007751,13547,1,154.18,2018-04-15
1007751,12211,1,11.95,2018-04-15
1007751,17162,1,13.39,2018-04-15
1007751,6177,1,31.80,2018-04-15
1007751,10745,4,55.71,2018-04-15
1007751,147405,1,35.83,2018-04-15
1007751,13592,1,133.31,2018-04-15
1007751,10458,1,108.59,2018-04-15
1007751,8863,2,27.57,2018-04-15
1007751,17138,1,14.08,2018-04-15
1007751,5118,5,26.04,2018-04-15
1007751,5090,3,43.57,2018-04-15
1007751,5631,11,16.58,2018-04-15
1007751,12193,1,14.60,2018-04-15
1007751,4840,1,75.62,2018-04-15
1007751,113641,2,5.14,2018-04-15
1007751,19306,6,21.02,2018-04-15
1007751,19893,100,0.75,2018-04-15
1007751,2248,2,10.17,2018-04-15
1007751,16777,12,29.07,2018-04-15
1007751,8844,2,29.16,2018-04-15
1007751,14707,2,104.90,2018-04-15
1007751,2247,2,9.96,2018-04-15
1007751,4068,2,24.90,2018-04-15
1007751,14533,2,96.46,2018-04-15
1007751,6487,10,21.89,2018-04-15
1007751,13506,4,102.14,2018-04-15
1007751,13289,3,168.50,2018-04-15
1007751,13524,5,203.60,2018-04-15
1007751,16893,1,16.01,2018-04-15
1007751,1753,3,21.41,2018-04-15
1007751,3682,4,99.55,2018-04-15
1007751,14239,2,97.96,2018-04-15
1007751,14260,2,100.75,2018-04-15
1007751,16977,2,11.80,2018-04-15
1007751,16765,6,102.29,2018-04-15
1007751,7625,30,14.08,2018-04-15
1007751,8430,1,80.96,2018-04-15
1007751,12827,1,21.98,2018-04-15
1007751,5175,5,28.17,2018-04-15
1007751,19905,100,0.66,2018-04-15
1007751,15978,1,36.76,2018-04-15
1007751,4222,4,30.57,2018-04-15
1007751,2194,1,17.57,2018-04-15
1007751,12802,1,12.37,2018-04-15
1007751,5971,2,70.27,2018-04-15
1007751,114529,2,65.47,2018-04-15
1007751,12848,1,13.48,2018-04-15
1007751,147497,1,36.79,2018-04-15
1007751,7683,4,44.69,2018-04-15
1007751,12890,1,7.75,2018-04-15
1007751,4271,1,24.90,2018-04-15
1007751,2798,1,34.63,2018-04-15
1007751,12833,2,26.07,2018-04-15
1007751,16960,2,28.68,2018-04-15
1007751,12663,2,15.41,2018-04-15
1007751,12895,1,8.56,2018-04-15
1007751,111089,2,68.05,2018-04-15
1007751,17021,13,16.40,2018-04-15
1007751,16883,1,24.63,2018-04-15
1007751,16913,3,22.94,2018-04-15
1007751,12307,1,10.15,2018-04-15
1007751,1731,60,5.20,2018-04-15
1007751,114033,250,10.57,2018-04-15
1007751,4117,2,32.67,2018-04-15
1007751,114384,4,252.05,2018-04-15
1007751,12297,1,9.58,2018-04-15
1007751,16943,2,52.31,2018-04-15
1007751,147529,2,44.84,2018-04-15
1007751,4031,1,24.39,2018-04-15
1007751,3342,1,18.74,2018-04-15
1007751,14417,0,67.06,2018-04-15
1007751,10542,1,10.15,2018-04-15
1007751,17230,1,13.63,2018-04-15
1007751,16874,2,52.31,2018-04-15
1007751,9919,2,98.35,2018-04-15
1007751,116309,2,50.06,2018-04-15
1007751,6255,1,47.60,2018-04-15
1007751,5267,15,22.16,2018-04-15
1007751,2526,6,23.27,2018-04-15
1007751,2900,2,43.45,2018-04-15
1007751,7005,10,15.77,2018-04-15
1007751,147589,1,90.21,2018-04-15
1007751,12850,1,23.06,2018-04-15
1007751,12734,2,28.80,2018-04-15
1007751,8668,4,31.23,2018-04-15
1007751,18810,212,38.17,2018-04-15
1007751,12119,1,16.79,2018-04-15
1007751,12644,1,13.21,2018-04-15
1007751,7611,10,8.80,2018-04-15
1007751,5793,5,53.40,2018-04-15
1007751,17098,1,23.57,2018-04-15
1007751,8048,2,23.36,2018-04-15
1007751,15188,2,102.29,2018-04-15
1007751,2171,2,13.57,2018-04-15
1007751,16833,1,19.10,2018-04-15
1007751,12732,2,23.06,2018-04-15
1007751,2195,1,35.44,2018-04-15
1007751,12005,1,12.67,2018-04-15
1007751,13522,2,184.48,2018-04-15
1007751,19297,6,28.68,2018-04-15
1007751,147342,2,48.29,2018-04-15
1007751,13400,2,98.41,2018-04-15
1007751,202528,1,0.00,2018-04-15
1007751,11134,1,9.61,2018-04-15
1007751,16684,2,20.90,2018-04-15
1007751,15125,1,118.35,2018-04-15
1007751,2903,2,18.38,2018-04-15
1007751,8713,2,26.49,2018-04-15
1007751,4604,2,89.25,2018-04-15
1007751,7629,-3,33.90,2018-04-15
1007751,11128,2,8.47,2018-04-15
1007751,15240,1,118.20,2018-04-15
1007751,5539,5,16.19,2018-04-15
1007751,16872,5,116.04,2018-04-15
1007751,13366,1,104.15,2018-04-15
1007751,16864,8,21.44,2018-04-15
1007751,13517,1,258.90,2018-04-15
1007751,16114,1,14.90,2018-04-15
1007751,17130,1,26.67,2018-04-15
1007751,9980,5,13.78,2018-04-15
1007751,15037,1,99.34,2018-04-15
1007751,13511,1,264.15,2018-04-15
1007751,8113,8,51.26,2018-04-15
1007751,8561,2,35.86,2018-04-15
1007751,7608,5,8.02,2018-04-15
1007751,12232,2,14.81,2018-04-15
1007751,13157,2,9.22,2018-04-15
1007751,1206,2,33.39,2018-04-15
1007751,12218,2,13.03,2018-04-15
1007751,7876,4,42.04,2018-04-15
1007751,5689,4,14.05,2018-04-15
1007751,1599,5,57.42,2018-04-15
1007751,14513,4,173.76,2018-04-15
1007751,12154,1,56.40,2018-04-15
1007751,16916,2,16.19,2018-04-15
1007751,112910,2,57.63,2018-04-15
1007751,4451,2,51.83,2018-04-15
1007751,12616,2,12.12,2018-04-15
1007751,18778,80,31.44,2018-04-15
1007751,14701,1,88.26,2018-04-15
1007751,13457,2,156.46,2018-04-15
1007751,10264,1,34.45,2018-04-15
1007751,12303,1,9.82,2018-04-15
1007751,1262,1,56.61,2018-04-15
1007751,1730,40,16.01,2018-04-15
1007751,8562,10,27.90,2018-04-15
1007751,17111,3,19.97,2018-04-15
1007751,16030,3,15.20,2018-04-15
1007751,206719,2,144.15,2018-04-15
1007751,4240,2,56.70,2018-04-15
1007751,13290,2,184.69,2018-04-15
1007751,13595,1,151.81,2018-04-15
1007751,16791,4,19.97,2018-04-15
1007751,18771,12,33.81,2018-04-15
1007751,12198,2,13.69,2018-04-15
1007751,110568,2,52.19,2018-04-15
1007751,12597,2,16.79,2018-04-15
1007751,206712,1,72.07,2018-04-15
1007751,12647,4,60.78,2018-04-15
1007751,15183,2,89.25,2018-04-15
1007751,14373,2,165.53,2018-04-15
1007751,1889,1,13.48,2018-04-15
1007751,11961,1,19.07,2018-04-15
1007751,4687,2,32.16,2018-04-15
1007751,12741,4,25.60,2018-04-15
1007751,4313,2,21.02,2018-04-15
1007751,10459,1,108.59,2018-04-15
1007751,13818,2,107.78,2018-04-15
1007751,6446,70,16.01,2018-04-15
1007751,5403,2,80.33,2018-04-15
1007751,14402,1,139.70,2018-04-15
1007751,15311,2,122.89,2018-04-15
1007751,16127,1,15.47,2018-04-15
1007751,10744,5,41.62,2018-04-15
1007751,12004,2,13.00,2018-04-15
1007751,7081,1,20.06,2018-04-15
1007751,18773,24,7.21,2018-04-15
1007751,2522,6,26.55,2018-04-15
1007751,1116,3,57.60,2018-04-15
1007751,4105,1,21.20,2018-04-15
1007751,222270,5,9.37,2018-04-15
1007751,18811,3,426.26,2018-04-15
1007751,4084,5,20.30,2018-04-15
1007751,8738,2,23.30,2018-04-15
1007751,19293,2,29.37,2018-04-15
1007751,9587,3,36.04,2018-04-15
1007751,6958,40,7.84,2018-04-15
1007751,1344,2,25.98,2018-04-15
1007751,4763,6,70.60,2018-04-15
1007751,10754,4,36.58,2018-04-15
1007751,3888,2,35.86,2018-04-15
1007751,12434,1,30.87,2018-04-15
1007751,13338,1,281.69,2018-04-15
1007751,12631,2,15.80,2018-04-15
1007751,17090,1,54.30,2018-04-15
1007751,18799,40,39.37,2018-04-15
1007751,12139,1,22.28,2018-04-15
1007751,16112,1,14.26,2018-04-15
1007751,110183,1,164.93,2018-04-15
1007751,17068,1,86.67,2018-04-15
1007751,8106,1,11.53,2018-04-15
1007751,2530,9,28.29,2018-04-15
1007751,12808,5,13.78,2018-04-15
1007751,12295,1,8.83,2018-04-15
1007751,16036,1,11.74,2018-04-15
1007751,4269,1,18.02,2018-04-15
1007751,12676,2,24.03,2018-04-15
1007751,2379,2,98.62,2018-04-15
1007751,206689,-1,108.11,2018-04-15
1007751,14484,2,199.17,2018-04-15
1007751,5273,20,27.36,2018-04-15
1007751,16809,3,15.08,2018-04-15
1007751,11953,3,27.05,2018-04-15
1007751,19978,1,25.62,2018-04-15
1007751,9798,1,144.48,2018-04-15
1007751,147558,2,38.44,2018-04-15
1007751,13368,2,93.64,2018-04-15
1007751,5934,1,147.00,2018-04-15
1007751,10822,3,51.08,2018-04-15
1007751,12735,2,28.80,2018-04-15
1007751,4305,1,34.45,2018-04-15
1007751,19856,30,45.02,2018-04-15
1007751,10896,2,14.60,2018-04-15
1007751,12300,6,9.67,2018-04-15
1007751,13355,3,320.16,2018-04-15
1007751,12603,2,13.71,2018-04-15
1007751,7218,1,18.20,2018-04-15
1007751,13503,2,181.30,2018-04-15
1007751,12098,1,16.88,2018-04-15
1007751,6637,18,12.37,2018-04-15
1007751,14353,2,188.47,2018-04-15
1007751,13456,-1,175.38,2018-04-15
1007751,12900,5,10.21,2018-04-15
1007751,2297,2,151.33,2018-04-15
1007751,12815,1,11.38,2018-04-15
1007751,1162,1,56.19,2018-04-15
1007751,13358,2,212.73,2018-04-15
1007751,12897,1,10.54,2018-04-15
1007751,4555,1,29.16,2018-04-15
1007751,12525,3,20.45,2018-04-15
1007751,12584,3,14.03,2018-04-15
1007751,16771,5,10.09,2018-04-15
1007751,2541,10,17.03,2018-04-15
1007751,12241,1,22.61,2018-04-15
1007751,4565,10,24.75,2018-04-15
1007751,1584,4,40.66,2018-04-15
1007751,19295,2,26.88,2018-04-15
1007751,147606,1,53.49,2018-04-15
1007751,6166,9,29.28,2018-04-15
1007751,16829,7,13.63,2018-04-15
1007751,13402,10,40.58,2018-04-15
1007751,17030,2,15.08,2018-04-15
1007751,7672,2,38.17,2018-04-15
1007751,14758,-2,94.96,2018-04-15
1007751,10448,1,76.79,2018-04-15
1007751,147667,1,112.86,2018-04-15
1007751,16880,5,116.04,2018-04-15
1007751,1648,5,39.31,2018-04-15
1007751,12458,3,89.82,2018-04-15
1007751,12901,7,9.49,2018-04-15
1007751,2314,7,88.75,2018-04-15
1007751,11129,3,8.83,2018-04-15
1007751,5114,18,46.64,2018-04-15
1007751,19683,100,7.93,2018-04-15
1007751,12271,3,9.35,2018-04-15
1007751,16175,2,40.99,2018-04-15
1007751,12463,1,31.59,2018-04-15
1007751,13525,1,130.48,2018-04-15
1007751,8872,2,13.00,2018-04-15
1007751,8498,2,69.31,2018-04-15
1007751,8436,2,65.32,2018-04-15
1007751,15638,-2,119.10,2018-04-15
1007751,13501,2,58.29,2018-04-15
1007751,12093,2,16.76,2018-04-15
1007751,12256,1,10.09,2018-04-15
1007751,8681,2,31.35,2018-04-15
1007751,16038,1,11.89,2018-04-15
1007751,10878,4,39.58,2018-04-15
1007751,113163,1,115.44,2018-04-15
1007751,12696,2,26.61,2018-04-15
1007751,17040,2,11.80,2018-04-15
1007751,2809,3,37.09,2018-04-15
1007751,19300,4,23.75,2018-04-15
1007751,2360,1,91.53,2018-04-15
1007751,19196,1,696.72,2018-04-15
1007751,7504,1,19.19,2018-04-15
1007751,1417,1,43.57,2018-04-15
1007751,2872,2,24.20,2018-04-15
1007751,11728,1,83.43,2018-04-15
1007751,2214,2,15.08,2018-04-15
1007751,2531,11,28.29,2018-04-15
1007751,17037,1,33.06,2018-04-15
1007751,12844,1,28.05,2018-04-15
1007751,16811,1,22.04,2018-04-15
1007751,16834,6,18.38,2018-04-15
1007751,4077,1,18.56,2018-04-15
1007751,2317,1,185.47,2018-04-15
1007751,15611,2,96.85,2018-04-15
1007751,15858,8,63.94,2018-04-15
1007751,17119,8,10.18,2018-04-15
1007751,8793,4,30.03,2018-04-15
1007751,16040,5,16.38,2018-04-15
1007751,13589,1,74.03,2018-04-15
1007751,16921,1,17.66,2018-04-15
1007751,5787,8,48.53,2018-04-15
1007751,13537,3,71.71,2018-04-15
1007751,8513,2,48.86,2018-04-15
1007751,7612,20,10.00,2018-04-15
1007751,112892,2,27.75,2018-04-15
1007751,147454,2,44.42,2018-04-15
1007751,17004,4,17.42,2018-04-15
1007751,16914,11,17.21,2018-04-15
1007751,12447,2,19.10,2018-04-15
1007751,10921,1,9.16,2018-04-15
1007751,12179,1,17.57,2018-04-15
1007751,8744,4,29.85,2018-04-15
1007751,16117,3,14.75,2018-04-15
1007751,1261,5,31.98,2018-04-15
1007751,5177,2,85.41,2018-04-15
1007751,2610,4,29.85,2018-04-15
1007751,5207,1,22.16,2018-04-15
1007751,7641,10,22.04,2018-04-15
1007751,17045,1,18.59,2018-04-15
1007751,4746,1,40.45,2018-04-15
1007751,17013,2,16.40,2018-04-15
1007751,12210,2,11.65,2018-04-15
1007751,2301,1,270.76,2018-04-15
1007751,4816,2,39.58,2018-04-15
1007751,2891,3,55.65,2018-04-15
1007751,206690,-1,108.11,2018-04-15
1007751,16683,5,31.59,2018-04-15
1007751,12165,3,15.47,2018-04-15
