tuote,koodi,tuoteryhma
22398,9461035745162,5035
86974,1988846678747,4070
71691,0981300041647,4060
40524,1452640451742,2310
40525,1452497490742,2310
40526,1457063918742,2330
40527,1454473745742,2310
40528,1456656864742,2310
15894,1458146244742,2310
40541,1452991533742,2310
40543,1459044217742,2310
40544,1459445966742,2310
40546,1452626756742,2310
40547,1454138250742,2310
40548,1455971831742,2310
40549,1455168642742,2310
40550,1455311617742,2310
40551,1454600750742,2310
40552,1457957812742,2310
40554,1458218691742,2310
40556,1458941483742,2310
66999,0303613263121,40009
67004,030731481121,40009
40575,1457794160742,2310
40579,1459494154742,2310
67005,0307892374121,40009
107370,0306504070121,40009
67019,030147907121,40009
107469,0314643810812,40009
107470,03164437812,40009
67689,0312326509812,40009
67690,0319412349812,40009
67697,031982790812,40009
67703,0313266659812,40009
67704,0317842912812,40009
89844,2414722051041,40015
93054,2425497452465,40015
79655,146369015042,40015
80863,1462331498310,40015
102627,F00247536BH6,40015
101408,9467712351161,40015
28431,0437604160317,40015
101249,94619067161,40015
33791,1286027016021,40015
48670,2415570325845,40015
101781,9465554543161,40015
86024,1903774148090,5910
97192,60341178613FB,5910
65855,028158196075,40012
84053,1583173843701,40012
74960,1269538764595,40008
31158,0464721492049,40018
31239,0473508142050,40018
29670,0431964374425,40019
29047,0439641998327,40019
98366,9416355034336,40015
98368,9416124159336,40015
98369,941649546336,40015
55673,942624133161,40015
108235,9428797567161,40015
55674,9429853200161,40015
55675,9425133962161,40015
55676,9426842994161,40015
108236,9426031959161,40015
55677,94224949161,40015
98947,9422602307336,40015
98948,9422170718336,40015
98949,9422494571336,40015
55856,9423237056361,40015
55857,9422047236361,40015
55859,9429036950361,40015
55861,9421050774361,40015
55877,9423109825361,40015
55878,94217673361,40015
55879,9423232444361,40015
55880,9426806389361,40015
55881,9422152687361,40015
55890,94230161361,40015
55891,9428835039361,40015
55892,9421372391361,40015
55893,9429482610361,40015
55894,9425881269361,40015
2828,1985719589794,2040
46512,1986907298794,2040
70964,0989451238635,5250
40590,1453439040743,2320
40591,1451007024743,2320
40601,1455209600743,2320
40629,1457743769743,2310
2942,1456682555743,2310
2941,1459919237743,2310
40634,1451518549743,2310
40635,1458710388743,2310
40636,1452513971743,2310
40637,1453541012743,2310
40638,1455359349743,2310
40645,1459613510743,2310
40646,1454805797743,2310
40647,1454433954743,2310
40656,1456747788743,2310
40657,1455185811743,2310
40658,1452293265743,2310
40663,1452668105743,2310
40665,1458015799743,2310
40666,1454990558743,2310
40668,1452208984743,2310
40670,1457183286743,2310
95085,2432255598331,40015
55895,9429184178361,40015
55896,9423322544361,40015
55911,9421294375361,40015
103697,9424384298727,40015
103699,9427559445827,40015
103700,9428535495827,40015
98999,9438224008061,40015
99038,943738239161,40015
99039,9436385600161,40015
99040,94342603161,40015
99041,9437675208161,40015
99042,9436207413161,40015
99047,9436279898161,40015
99055,9434860018161,40015
99056,9438318853161,40015
99443,9442662940061,40015
81255,1467895344316,40015
81256,1467203022316,40015
81258,1462622102316,40015
81259,1469917675316,40015
81399,1465875053320,40015
103707,9447639317003,40015
103708,9449419814008,40015
103709,9446951831008,40015
103710,9442619135008,40015
103711,9449423908008,40015
103712,9449049596008,40015
103713,944547730008,40015
103714,9443780983008,40015
103715,9446120127061,40015
56965,9444530925161,40015
57052,9444882897261,40015
57055,9445933285261,40015
57056,9444116022261,40015
57057,9447250095261,40015
57058,9445757059261,40015
57059,9441928198261,40015
57149,944450555261,40015
57151,9444776731261,40015
57177,9448861092261,40015
108641,9441560362261,40015
57182,9443369961261,40015
6066,ADS2926923419,5450
6067,ADS2375513446,5450
6069,ADS9196481413,5450
6079,08.7048045830,4030
40673,145926547743,2310
57186,9449910011261,40015
57189,9448063057261,40015
57191,9446137943261,40015
57239,9442721005261,40015
57241,9442717346261,40015
57242,9444417651261,40015
57245,9442396073261,40015
40674,1455110853743,2310
202089,P107744293669,2325
40676,1457433357743,2310
40683,1458057111743,2310
99743,9443734200361,40015
99757,9445585521361,40015
99758,944396498361,40015
99759,9446373400361,40015
99760,9446015071361,40015
39736,1285105178743,40015
99843,944881093361,40015
57331,9442601216361,40015
57332,9449382303361,40015
57333,9447364511361,40015
108738,9446578403361,40015
99864,9441463845361,40015
99865,9447447266361,40015
99866,9443676440361,40015
99867,9446115376361,40015
63296,0263897874500,5005
40684,1453803423743,2310
2939,1451890897743,2310
40687,1451712807743,2310
40690,1454751175743,2310
2935,1455850125743,2310
40702,1452345136743,2310
40706,1451164401743,2310
40707,1458511515743,2310
40708,1451002405743,2310
40714,1453894511743,2310
40715,1458144905743,2310
40716,1455472862743,2310
40720,1457063940743,2310
40738,1459831420743,2310
40740,1452093532743,2310
99868,944767534361,40015
40741,1452929645743,2310
3070,1459718971743,2310
40745,1456213685743,2310
40746,1452088078743,2310
40753,1456446114743,2310
40754,1452783913743,2310
40755,1455858557743,2310
40756,1453781011743,2310
40757,1452772652743,2310
40760,145758882743,2310
6085,09.642563883,4030
6087,09.9309470735,4030
40761,1459314046743,2310
40762,1457321878743,2310
40763,1454970432743,2310
6096,09.6253816936,4030
40764,1455881323743,2310
40765,1459592057743,2310
40773,145779643743,2310
40774,1457354864743,2310
6098,08.602083831,4030
99910,9446702762361,40015
99911,9447649807361,40015
114725,2183316732002,3120
6099,08.952978908,4030
6106,0986138616601,5450
99912,9443077781361,40015
99913,9442794205361,40015
101564,9463609552161,40015
72505,098303357647,4030
6108,09.5714068841,4030
84575,1698218695420,8040
96868,3428370751010,40015
117825,5SH1344791100,22551
12275,G167300363696,1220
117826,7EV2798689100,22551
117827,7EV7765723100,22551
117828,7EV9425167100,22551
117829,7EV2566583100,22551
117830,7EV503084100,22551
117832,3VI919059H10,22551
117834,3VI8867861H10,22551
117835,7MK7596891H10,22551
117836,7MK2343168H10,22551
117841,7MK4448862H10,22551
117842,7MK3569301H10,22551
117843,7MK5347292H10,22551
117844,7EV5461402100,22551
117845,7EV4492385100,22551
117846,7RA1029580L10,22551
117847,7RA5813190L10,22551
117848,7RA6969543L10,22551
117849,7RA8070370L10,22551
117850,7RA6773467L10,22551
117851,7RA8555753L10,22551
117852,7RA9117604L10,22551
117854,7BI2868765LR1,22551
117855,7BI3909012LR1,22551
117856,7BI7184255LR1,22551
117857,7BI2088042LR1,22551
117858,7BI6871357LR1,22551
117853,7LI7363453100,22551
211316,DC81272169332,4055
117839,1BA2771679100,22551
117838,1BA1136873100,22551
117837,1BA7861727100,22551
117833,1BA7903433100,22551
117831,2BE3474846100,22551
101565,9464177773161,40015
6109,09.6043678854,4030
6112,09.6478918869,4030
6115,09.1219000893,4030
6116,08.6945729870,4030
6117,09.3980756948,4030
54029,9409969871008,40018
40775,1452618771743,2310
15906,1456221612743,2310
40781,1456636235743,2310
40795,1458924537743,2310
40796,1459162371743,2310
40800,1457388614743,2310
40803,1454055798743,2310
3054,1451186844743,2310
40804,1454876236743,2310
40805,1457059470743,2310
40806,145975058743,2310
40807,1457474059743,2310
40808,1451046541743,2310
40809,1452037844743,2310
40811,1451440637743,2310
40812,1457216785743,2310
40813,1458012990743,2310
40814,1454606125743,2310
40815,1454471641743,2310
40816,1458954080743,2310
40817,145570392743,2310
40819,1459414648743,2310
40837,1452904762743,2310
40840,1458194548743,2310
40841,1453642651743,2310
40842,1454349575743,2310
3055,1451690989743,2310
40843,1453127859743,2310
40844,1457469869743,2310
5746,1455008488743,2310
3056,1457023692743,2310
12937,1454558626743,2310
2268,1454316261743,2310
40858,1458925363743,2310
40860,1451911248743,2310
40861,1452625223743,2310
40862,145815135743,2310
54031,9403852680008,40018
54032,9402953525008,40018
54033,9405480761023,40018
97934,9404573736036,40018
97935,9402401784036,40018
97940,9403087737061,40018
96942,3427404002461,40015
40863,14528285743,2310
6118,09.9618322584,4030
6119,09.4538746893,4030
6120,09.8557580907,4030
6125,09.5137170727,4030
12947,1457863939743,2310
15909,1458901862743,2310
40865,145634163743,2310
40866,1457103400743,2310
40867,1455206078743,2310
6142,ADS8618359496,5450
117859,7BI1273593LR1,22551
97969,9405607653061,40018
97970,9405683422061,40018
97971,9407647647061,40018
97973,9401772769061,40018
97962,9406098567061,40018
97952,9406895429061,40018
97953,9403123886061,40018
97954,9403153101061,40018
97955,9402521364061,40018
97956,9407721726061,40018
97980,9403593407061,40018
15560,G163037355698,1220
15561,G168869885699,1220
15751,G165253631703,1220
97981,940103835061,40018
163136,6542489251300,1170
117861,5SH6427353100,22551
117863,7EV9639335D10,22551
117864,7EV1153340D10,22551
117865,7EV7487238D10,22551
117862,7EV9230410D10,22551
117866,7LI1211644100,22551
117893,1BA1162724100,22551
117884,2BE3071692100,22551
117883,2BE3768577100,22551
117882,2BE9468732100,22551
117881,2BE9713571100,22551
117886,2BE486762100,22551
117887,2BE1242318100,22551
117885,2BE4981898100,22551
117889,2BM7968787100,22551
117888,2BM4429973100,22551
117890,2BM6779372100,22551
117891,2BM5658447100,22551
117892,2BM2279472100,22551
117876,2SO1451407100,22551
117875,2SO1188513100,22551
117874,2SO8822869100,22551
117878,2SO8462975100,22551
117879,2SO3768054100,22551
117872,2HA7356712100,22551
117873,2HA1906539100,22551
117870,2LI4245816100,22551
117871,2LI9467169100,22551
117867,2LI6920271180,22551
117869,2LI2047942180,22551
117868,2LI192909180,22551
98025,9408985968108,40015
104052,9418919216061,40018
98034,9419275783061,40018
98035,9419538623061,40018
98036,9414625542061,40018
98014,9402740395061,40018
98015,9408131196061,40018
98033,9415798939061,40018
98037,9419967915061,40018
40871,1453637040743,2310
40872,1458319122743,2310
40873,145137288743,2310
40874,1456730903743,2310
40875,1452756758743,2310
40876,1459280281743,2310
1625,1452095497743,2320
98038,9419661721061,40018
40906,1451097390743,2320
15890,1455242793743,2320
40907,1451557873743,2320
13232,1454414074743,2320
40908,145729016743,2320
40910,1453426629743,2320
40911,1453419419743,2320
40912,1457382868743,2320
40917,1458464578743,2320
40918,1456495865743,2320
40919,1451263196743,2320
40920,145625232743,2320
40921,1459831626743,2320
40922,1452225857743,2320
40923,1451957952743,2320
40926,1454246928743,2320
224422,XS6150014300B,22142
40929,1455598752743,2320
3052,1459162623743,2320
12872,1454981353743,2320
40945,1451469234743,2320
40959,1456366249743,2320
45265,1982622675742,2310
45266,1984667501742,2310
45269,198427721742,2310
45271,1984509573742,2310
45273,1989374225742,2310
45276,1989507793742,2310
45278,1988305852742,2310
45279,1986250835742,2310
45280,1987701562742,2310
45281,1988452414742,2310
45283,1984558991742,2310
106336,1989376096742,2310
98039,941244242061,40018
106337,1981940567742,2310
106338,1983007184742,2310
45290,1981948610742,2310
45291,1986999947742,2310
45292,1985189169742,2310
45293,1984841159742,2310
45295,1987132307742,2310
45337,1985253544743,2340
45296,1989945342742,2310
45297,198845774742,2310
45298,1986203055742,2310
45299,1982472159742,2310
45300,1986331323742,2310
45303,1984043068742,2310
45304,1985072464742,2310
45305,198888074742,2310
45306,198361142742,2310
45307,1981281636742,2310
45309,1988241187742,2310
45312,1982449119742,2310
13038,198680683742,2310
45313,198166189742,2310
45314,198271856742,2310
45316,1988809968742,2310
45319,1989891133742,2310
45320,198906331742,2310
109405,1694143929284,8040
45323,1989483185743,2340
13099,1985805898743,2340
45325,1989848381743,2340
19722,1989522283743,2340
45326,1988738398743,2340
45328,1987539942743,2340
13104,1987726389743,2340
45338,1987560088743,2340
211080,C295022431118,2315
45340,1983311630743,2340
45342,1985333847743,2340
13064,1984536260743,2340
45343,1984662382743,2340
45345,1983157626743,2340
45347,1988968756743,2340
45349,198120166743,2340
45362,1987898034743,2340
45363,1989300699743,2340
45364,1987076885743,2340
45367,1984481576743,2340
45458,1988352772743,2340
45459,1981770066743,2340
45564,1989491013743,2340
53038,F026455055640,2310
53039,F021736835640,2310
53041,F027642225640,2310
53042,F025030248640,2310
53043,F027877154640,2310
53046,F027745320640,2310
231242,TC12598265961,1145
53048,F028538834640,2310
101566,9465067460161,40015
101567,9463292674161,40015
104686,946591109161,40015
104687,9462533108161,40015
104689,9466851303161,40015
45724,1983231951794,2520
45722,1984813749794,2520
45723,1986244352794,2520
69025,0442621561000,40015
69026,0444929693000,40015
69027,0446339860000,40015
69028,0442766235000,40015
108187,0441496887000,40015
108188,0443812355000,40015
76065,1413204096028,40015
76066,1412112728028,40015
76067,1413548755028,40015
76068,1417560051028,40015
76072,1416309694028,40015
76073,1414118518028,40015
54186,9416751586161,40015
15752,G162706479704,1220
76299,1415799754103,40015
76328,1413447517192,40015
76329,1415562165210,40015
54254,9416516556161,40015
98149,9412922633161,40015
98156,9414426025161,40018
102730,9412260731161,40015
48185,2333756098930,40020
39952,141174022312,40015
39953,1412831050312,40015
39954,1411568154312,40015
54423,9416139409161,40015
54424,9415680652161,40015
220864,0989018201647,4030
54425,941179487161,40015
54426,9413921167161,40015
54427,9418131856161,40015
54428,9415275649161,40015
54429,9412217887161,40015
54430,9417149705161,40015
54447,9412949945161,40015
101276,9465480355161,40015
66030,0287114979100,5035
53050,F024662327640,2310
53051,F023359818640,2310
53052,F026980809640,2310
53053,F029870722640,2310
53054,F023903512640,2310
53055,F026269460640,2310
10682,F02138817640,2310
53056,F023250672640,2310
53057,F024288735640,2310
53058,F029759604640,2310
53062,F026664654640,2310
53063,F024360360640,2310
53069,F022106654640,2310
53079,F029012629640,2310
53080,F022339666640,2310
53081,F022720672640,2310
53082,F02117945640,2310
53083,F02853695640,2310
53084,F026033707640,2310
53085,F025886318640,2310
53092,F02119176640,2310
53093,F024053463640,2310
53102,F025218810640,2310
53103,F02639553640,2310
53104,F02124672640,2310
53125,F026130070640,2310
53126,F028113191640,2310
53138,F02597459640,2310
53139,F028589778640,2310
53140,F025722975640,2310
53141,F025850704640,2310
53144,F028647836640,2310
53145,F028484072640,2310
53146,F02880805640,2310
53171,F029990893640,2310
53172,F023834353640,2310
53173,F029789142640,2310
53174,F023414921640,2310
231873,FSB4362713688,4025
53249,F029680347640,2320
53263,F028018896640,2320
104149,F028930095640,2320
53271,F026118793640,2320
53309,F02109065640,2320
10685,F021453390640,2330
2242,F021334256640,2330
53324,F026916124640,2330
53325,F024283697640,2330
10686,F021382294640,2330
53362,F027735280640,2330
46148,198777197794,2040
66031,0284727258100,5035
66032,0285428831100,40015
224423,XS6821497800N,22142
86183,1924315878840,40015
86186,1925749489840,40015
76469,1412545551341,40015
76472,1413497548341,40015
76473,1418345132341,40015
76474,1417830808341,40015
96535,3404050300010,40015
107144,3402859335879,40015
86321,1927558802840,40015
101732,9467272611161,40015
53363,F02471809640,2330
163179,7746523590300,1170
53366,F028748932640,2330
224424,XSP5550335IDE,22142
40560,1459063425742,2310
40620,145622306743,2310
40606,145603480743,2310
40607,1452105838743,2310
40609,1451474346743,2310
40649,1457620308743,2310
40650,1459145819743,2310
40662,1451275062743,2310
40694,145249820743,2310
40695,1451949134743,2310
40696,1453352663743,2310
40697,1455433233743,2310
40733,1459231416743,2310
40734,1455085347743,2310
40818,145352449743,2310
40821,1454801894743,2310
40845,1459367661743,2310
40847,1459057043743,2310
40940,145199893743,2320
40941,145529794743,2320
40942,1453402789743,2320
40943,1454531313743,2320
24377,0256788245020,5230
24378,0253244655020,5230
24380,0251021773020,5230
24411,0253414049020,5230
24412,0255649418020,5230
24413,0259167352020,5230
24414,0258584117020,5230
24415,0255002223020,5230
24169,0246760012222,5210
6976,024758215222,5210
6984,0243024516222,5210
6991,0244919705222,5210
24300,0242981395224,5210
24321,0247681855224,5210
24322,0248938819224,5210
24323,0242623963224,5210
9466,0253283437020,5230
7106,0246368593223,5210
101733,9467568617161,40015
7108,0243507090223,5210
7107,0246709740223,5210
41598,1685634667238,8040
6947,025263128020,5230
24034,0247376196125,5210
24082,0244318732213,5210
1697,024498943222,5210
24183,0245262276222,5210
1731,0244667919222,5210
46243,1983580687794,2520
92471,242468507306,40015
86390,1929481408840,40015
86409,1925291834840,40015
91565,2421142646002,40015
91671,2425205841010,40015
93888,2428096997721,40015
93889,242958302721,40015
93890,24298586721,40015
93891,2421506646721,40015
93944,2429377449819,40015
93945,2426079188819,40015
93947,24258577819,40015
6989,0242881995224,5210
6981,0246512167224,5210
6983,0246713657224,5210
24324,0245943599224,5210
24325,024615757224,5210
24326,0249273141224,5210
24327,0249253296224,5210
24328,0247849940224,5210
6985,0244850393224,5210
24330,0241054364224,5210
24351,0241644708226,5210
6168,0254950851020,5230
24370,0256432900020,5230
24371,0254882238020,5230
24372,0256317851020,5230
24373,0254336873020,5230
6945,0258048417020,5230
7005,0255694339020,5230
6884,0255685579020,5230
6946,0257147278020,5230
6889,0255995609020,5230
7006,0253905429020,5230
1736,0257244381020,5230
6977,0244343701223,5210
6975,0245546086223,5210
6980,0246699369223,5210
1690,0249422819223,5210
24367,0251947071020,5230
24368,0255021030020,5230
24369,0252467322020,5230
24379,025826742020,5230
219757,3208096910300,22647
224425,XSP7168931JAS,22142
24393,0253066564020,5230
24394,0255362661020,5230
24398,0254282366020,5230
1745,0255854270020,5230
6554,0257379683020,5230
19725,0254335856020,5230
24410,0253433458020,5230
24416,02573390020,5230
45790,1985491194794,2520
45791,1988531621794,2520
54698,9416957239161,40015
93948,2421368476819,40015
93949,242312054819,40015
93950,2421935970819,40015
93951,2422825554819,40015
93952,2421738768819,40015
93953,2425549085819,40015
93954,2423756208819,40015
93955,2423388468899,40015
13244,CAK6361407434,2315
93958,2426466863899,40015
93959,2425957508899,40015
93960,242469200899,40015
94111,2437351514010,40015
94112,2437986024010,40015
94113,2438771631010,40015
94114,2431716870010,40015
94123,2439258576010,40015
94124,2432109362010,40015
23738,0206898908410,4055
45792,198192003794,2520
45793,1983036597794,2520
45794,1982783589794,2520
45795,1986743647794,2520
45796,1989695433794,2520
45808,19811591794,2520
45809,1984142978794,2520
45810,1986056794,2520
45811,1987488769794,2520
45812,1986927227794,2520
45786,1989408798794,2520
6914,0258966659031,5230
24436,0254389361040,5230
1682,0247409405204,5210
23930,02484364022,5210
19729,0241664197023,5210
23935,0247381977104,5210
23937,024491179105,5210
23938,0244319738105,5210
24038,0241363705126,5210
224154,WP98424901357,2340
23939,0246033930114,5210
6893,0249872661121,5210
23946,024291233121,5210
23952,024529028122,5210
6654,0242468419122,5210
9896,0241680730122,5210
7100,0242519974122,5210
23970,0247829475122,5210
6657,0242977898123,5210
23994,0249019970124,5210
23997,0241347842124,5210
1592,0241722562124,5210
6995,0249997228124,5210
24013,0242871061124,5210
6696,0249840073124,5210
9853,0244677538124,5210
24021,0248994155124,5210
224426,XSP2936697LAV,22142
224155,2073405029622,2340
24026,0249386981125,5210
24027,0245842899125,5210
9855,0249581989125,5210
6940,0241014012125,5210
24032,0245944410125,5210
94125,2431233112010,40015
6690,0241775706126,5210
24040,024371302126,5210
24042,0242168403126,5210
94126,2434542007010,40015
94127,2438883930010,40015
94128,2432120571010,40015
94129,2436595282010,40015
94436,2436906003010,40015
12480,G167654138708,1220
14336,G165433936733,1220
94437,2434828581010,40015
98981,9421174570827,40015
54858,9413423593161,40015
98983,9424373200827,40015
98985,9429669513827,40015
75967,1416936983013,40015
75968,1411188824013,40015
75969,1418241463013,40015
32175,0981971639601,5450
46645,1982087426794,2010
46646,1985036150794,2010
15318,G166290405757,1220
98277,9419583707336,40015
98278,9419421619336,40015
23641,0206066508410,4055
39586,1196178548731,5360
19742,1194592997731,5360
39587,1191806623731,5360
98306,9419517392336,40015
98307,9419584519336,40015
39588,1196788632731,5360
39589,1192583271731,5360
39590,1191612603731,5360
39591,1197493556731,5360
39594,1192668582731,5360
39595,1197378132731,5360
109563,1198735359731,5360
39617,1191553596731,5360
39618,1192159197731,5360
39619,1198530148731,5360
39620,1193956901731,5360
39621,1198228578731,5360
39622,1198652775731,5360
39623,1196268803731,5360
39624,1194551989731,5360
39625,1195481836731,5360
39626,1195053342731,5360
39627,1199789669731,5360
15319,G164841964758,1220
98308,941653645336,40015
98309,9418716481336,40015
98310,9412914508336,40015
95794,246128807342,40015
54955,9415837213336,40015
107947,9419844824336,40015
54956,941333067336,40015
98410,9413379676336,40015
98440,9418221293361,40015
24045,024832037127,5210
24050,0242020053130,5210
9857,0248106701135,5210
41002,1686900605005,8040
41003,1681916543010,8040
41004,1681602022010,8040
41005,168133701010,8040
41006,168934625010,8040
41007,1681399633010,8040
41008,1683795475010,8040
6261,0241878375215,5210
24107,0241868997221,5210
24109,0245595170221,5210
24110,0241910452221,5210
24114,0244790359221,5210
24116,0245461413221,5210
24118,0245010254221,5210
24119,0247455932221,5210
24122,0245713023221,5210
7109,0244445985222,5210
24125,0243314509222,5210
6944,0244518357222,5210
24133,0248377706222,5210
24139,0246328833222,5210
24140,0245153085222,5210
1759,0244517483222,5210
24163,0241846365222,5210
24172,0246466042222,5210
6263,0247414127222,5210
24173,0245661017222,5210
24174,0248502340222,5210
24175,0248097755222,5210
19125,0987200665658,2760
24176,0242688616222,5210
24177,0247815125222,5210
24179,0243194674222,5210
6662,0243411468222,5210
6664,0248865612222,5210
24197,0241395770222,5210
6992,0243542576222,5210
6891,0248843021222,5210
6647,0244487474222,5210
6666,0245293606222,5210
1687,0242604855222,5210
224156,3106329767166,2340
224427,XSP7696901VAN,22142
7158,0247292370223,5210
24231,0242107294223,5210
98466,9412480977361,40015
98467,9416150760361,40015
98468,9419720764361,40015
98469,9418661808361,40015
98470,9419844488361,40015
98471,941717884361,40015
98472,9417042853361,40015
98473,9411507663361,40015
98474,9415691468361,40015
98475,9416343090361,40015
98476,941390317361,40015
100503,9465788657161,40015
6150,024394642221,5210
98477,9416745206361,40015
75970,1414226772013,40015
75974,1412215625013,40015
75975,141775926013,40015
75976,141516675014,40015
46746,1984596527794,2010
46747,1985698875794,2010
46748,198386812794,2010
46749,1988844116794,2010
105588,1414989919020,40015
76015,1415749317021,40015
76017,1413163291021,40015
102857,0682845325380,8040
41117,1682405397032,8040
41118,1688844479032,8040
109849,1683364132049,8040
41144,1681026425050,8040
41145,1686832098050,8040
41147,1687728223050,8040
41149,1689414296050,8040
41150,1683950931051,8040
41151,1686262475051,8040
98483,9417793219361,40015
98484,9416603604361,40015
98489,9414241217361,40015
98490,9413157586361,40015
98491,9412758994361,40015
41152,168808930051,8040
41157,1685176063051,8040
98492,9415795990361,40015
41169,1682367921055,8040
41171,1681723382056,8040
41173,1688078261058,8040
41174,1687927020058,8040
41175,1684004352058,8040
41176,1686932263058,8040
24241,024788022223,5210
24243,0242270970223,5210
24251,0241395754223,5210
41295,1682700016071,8040
41296,168629089071,8040
41297,168992534071,8040
41298,1684857869071,8040
41299,1688183081071,8040
41301,1688139238071,8040
41302,1683431041071,8040
41303,1682033270071,8040
41305,1683650077071,8040
41306,1686605459071,8040
41307,1685494091071,8040
1656,0246535198223,5210
24253,0241393576223,5210
6943,0245173330223,5210
24257,0249384137223,5210
6962,0245293702223,5210
6957,0248609122223,5210
6958,0244452829223,5210
24259,0248185262223,5210
9860,0247312042223,5210
6892,0242380025223,5210
1730,0246488074223,5210
24263,0249526309223,5210
6679,0245738238223,5210
98493,941471785361,40015
98494,9411574224361,40015
41749,1686090028277,8040
231874,LS15548380971,4025
45514,198421240743,2340
1694,0248420091223,5210
6602,0245534814224,5210
1729,0248417779224,5210
15143,G164616379763,1220
24291,0248126965224,5210
24293,0247994625224,5210
9864,0248673529224,5210
98544,9413748057361,40015
98545,9418725776361,40015
98546,9414199856361,40015
107960,9412115114361,40015
98547,9417589056361,40015
59258,F004213308RJ0,40015
59259,F007233721RJ0,40015
59260,F003146988RJ0,40015
59264,F008758076RJ0,40015
41363,168218732101,8040
41364,1684472973101,8040
41367,1689264286101,8040
41368,1686990436101,8040
41369,1687426723101,8040
41370,1689005231101,8040
41387,1684513171103,8040
41388,1686231537103,8040
41415,1688242347110,8040
36096,0984760940661,8040
41451,1686149919131,8040
41452,1689811909132,8040
41453,1683546744132,8040
41458,1686263539132,8040
41459,1689065604132,8040
41460,1682135521132,8040
41461,1689843683132,8040
41462,1683421334132,8040
41463,1685334631132,8040
41467,1681186493132,8040
41468,1682414096132,8040
41472,1689574470132,8040
41478,1683423679133,8040
41480,1685561128133,8040
41482,1689397133133,8040
41483,1686650236133,8040
41493,16870549133,8040
41494,1689903500133,8040
41509,1682097559139,8040
41510,1688045884139,8040
41512,1683747593139,8040
41513,1683847172139,8040
41515,1684149287140,8040
224428,2803221618804,22142
41539,1684157103202,8040
41540,1683719224202,8040
109858,1688613830230,8040
41573,1686927394230,8040
41750,1684570440277,8040
41751,1689895707277,8040
41754,1684249197277,8040
41755,1687757421277,8040
41774,1686729367277,8040
41775,1684359828277,8040
104142,1688219688277,8040
59265,F005164981RJ0,40015
59297,F001991957RJ0,40015
98548,9418879780361,40015
98549,9419203246361,40015
98550,9419065400361,40015
98551,9413237233361,40015
98552,9415998557361,40015
59298,F001377369RJ0,40015
89765,2412443009030,40015
89766,2418019367030,40015
89767,2416310431030,40015
89768,2412672003030,40015
89875,2416525623050,40015
89877,2416574831050,40015
89878,2419154641050,40015
89916,2418334736100,40015
89917,2411228184100,40015
89918,2416778745100,40015
89920,2411514619100,40015
89922,2411301969100,40015
89924,2416802032100,40015
89925,2411747021100,40015
89926,241923401100,40015
89927,2415800997100,40015
89937,241422431100,40015
89938,2417484882100,40015
89939,2414672204100,40015
89940,2411733592100,40015
89941,2414126337100,40015
89942,2417916927100,40015
90736,2418437338515,40015
90739,2413041882515,40015
90740,2411053939515,40015
90741,2412457251515,40015
90742,241324883515,40015
90743,2412543443515,40015
90744,2413485518515,40015
