tuote,saldo
126887,1
176346,1
202051,1
220399,1
220395,1
19818,1
122033,1
191246,1
115024,1
117126,1
222289,1
210711,1
192600,1
210749,1
117069,1
213193,1
191245,1
15283,1
9032,1
225510,1
126886,1
3966,1
191763,1
114866,1
7012,1
4530,1
220318,1
206220,1
205328,1
216195,1
114757,1
206255,1
11274,1
160082,1
224248,1
15280,1
216229,1
191512,1
191297,1
220398,1
5317,1
117113,1
4293,1
71498,1
112905,1
172636,1
6357,1
3557,1
1870,1
115477,1
4629,1
173973,1
112890,1
115285,1
9534,1
63051,1
222486,1
220384,1
202477,1
210858,1
202603,1
176461,1
116719,1
12267,1
3946,1
216180,1
191364,1
206146,1
112896,1
53143,1
206907,1
111146,1
112895,1
3365,1
117781,1
112860,1
115538,1
204554,1
113599,1
210613,1
222399,1
216084,1
210860,1
23554,1
220103,1
114069,1
4559,1
23555,1
1026,1
193245,1
209945,1
10661,1
191394,1
202482,1
172609,1
114461,1
23238,1
210630,1
224514,1
202883,1
173711,1
211490,1
10441,1
225544,1
230977,1
225543,1
1750,1
115272,1
173414,1
206256,1
3617,1
206903,1
4691,1
9930,1
11706,1
138735,1
53176,1
4623,1
116583,1
223565,1
126885,1
117563,1
111066,1
206989,1
137562,1
116050,1
111060,1
173458,1
19688,1
172490,1
210725,1
117559,1
14469,1
116907,1
206219,1
191550,1
205372,1
199992,1
223572,1
6655,1
213183,1
117367,1
202621,1
191258,1
115086,1
167626,1
206145,1
220320,1
202480,1
114741,1
220094,1
115010,1
117112,1
117110,1
175437,1
205782,1
5987,1
198518,1
8079,1
113594,1
10387,1
197350,1
202531,1
121904,1
115325,1
8966,1
115087,1
192857,1
12681,1
15480,1
159940,1
222980,1
201840,1
173401,1
4281,1
220408,1
19115,1
191379,1
206186,1
206479,1
206221,1
179239,1
206899,1
113115,1
116810,1
194875,1
114944,1
173634,1
194883,1
117114,1
116551,1
4104,1
118842,1
114745,1
1521,1
205990,1
115459,1
172980,1
225542,1
225546,1
179192,1
1435,1
179190,1
179189,1
179191,1
121971,1
3968,1
206178,1
164873,1
124974,1
156834,1
223036,1
117697,1
179193,1
211402,1
199911,1
200748,1
117696,1
222989,1
115502,1
206122,1
223055,1
176813,1
176942,1
169199,1
115184,1
205875,1
184713,1
202476,1
114727,1
223573,1
204299,1
223762,1
206900,1
7345,1
225283,1
191881,1
203129,1
10295,1
196783,1
222963,1
223581,1
198420,1
117703,1
147418,1
173027,1
116521,1
223067,1
211019,1
184703,1
211018,1
191521,1
6688,1
116287,1
115519,1
180418,1
114082,1
176482,1
225214,1
220493,1
188305,1
115580,1
201867,1
211020,1
147426,1
179188,1
173726,1
114900,1
210484,1
116082,1
200808,1
8118,1
17737,1
173776,1
114817,1
6132,1
128817,1
196608,1
114654,1
199910,1
121683,1
166356,1
7536,1
211017,1
202735,1
179195,1
222922,1
1496,1
113213,1
117710,1
115151,1
175856,1
220401,1
159180,1
8970,1
210485,1
223052,1
115986,1
117616,1
16630,1
121717,1
197636,1
220524,1
209919,1
116505,1
211253,1
194311,1
225545,1
111057,1
167567,1
220442,1
188141,1
113674,1
210628,1
219954,1
116745,1
222371,1
220498,1
195622,1
5200,1
177430,1
206123,1
220451,1
220446,1
173916,1
194806,1
13572,1
7075,1
117767,1
3956,1
223027,1
179220,1
184712,1
200742,1
220455,1
176370,1
177062,1
5397,1
222115,1
6625,1
188829,1
220419,1
211254,1
110495,1
210670,1
219765,1
175602,1
219770,1
114395,1
30375,1
23550,1
223068,1
220100,1
14161,1
115298,1
202077,1
123737,1
219884,1
195617,1
7905,1
114407,1
220486,1
220466,1
195614,1
114749,1
1580,1
45460,1
13935,1
19720,1
224132,1
223507,1
225213,1
12839,1
110452,1
116931,1
111058,1
5721,1
179194,1
111049,1
110504,1
110500,1
111059,1
7271,1
203269,1
219967,1
2929,1
206114,1
206009,1
117526,1
210455,1
206129,1
194467,1
121718,1
116976,1
205797,1
198698,1
223562,1
219737,1
116510,1
204300,1
211021,1
223834,1
128849,1
177438,1
223083,1
6031,1
116497,1
202559,1
211025,1
116553,1
121927,1
195615,1
202563,1
174209,1
10268,1
16680,1
170094,1
183327,1
116581,1
172841,1
195591,1
179205,1
222977,1
109128,1
210689,1
116571,1
167528,1
222544,1
195525,1
9635,1
203282,1
123990,1
10570,1
220005,1
6440,1
116084,1
223833,1
116520,1
115179,1
115327,1
40792,1
206183,1
183350,1
205318,1
116463,1
15293,1
10902,1
174813,1
116478,1
116490,1
115927,1
206678,1
114731,1
172929,1
199646,1
202474,1
206348,1
115419,1
114585,1
223462,1
211022,1
206404,1
211024,1
174538,1
116528,1
115793,1
23575,1
194468,1
202473,1
73133,1
123113,1
179206,1
115416,1
194456,1
206658,1
114484,1
222537,1
210676,1
206905,1
179251,1
206915,1
198620,1
211380,1
163060,1
202541,1
210515,1
211481,1
222901,1
116326,1
202558,1
114368,1
209960,1
205125,1
222895,1
112853,1
197203,1
124995,1
223070,1
123634,1
211455,1
116977,1
205172,1
206643,1
202068,1
209995,1
19256,1
110588,1
222271,1
116732,1
147196,1
210661,1
116747,1
197159,1
1401,1
127234,1
211262,1
211260,1
181018,1
211478,1
102187,1
205156,1
116827,1
116567,1
219890,1
116693,1
177186,1
111065,1
66108,1
219989,1
117329,1
116630,1
113209,1
223201,1
211454,1
113208,1
194908,1
116676,1
209938,1
176768,1
40772,1
113198,1
109054,1
194868,1
176242,1
115790,1
222270,1
113205,1
205762,1
179253,1
113189,1
209955,1
210690,1
176566,1
206365,1
200682,1
114467,1
116791,1
4529,1
16201,1
116767,1
205834,1
116653,1
114436,1
115845,1
114543,1
174106,1
209940,1
204453,1
116996,1
223566,1
195567,1
116881,1
173997,1
24603,1
5655,1
210021,1
163006,1
116713,1
1487,1
210730,1
116864,1
5381,1
222317,1
210517,1
116739,1
116692,1
116748,1
116882,1
186066,1
116680,1
116883,1
210591,1
116728,1
195668,1
205973,1
114569,1
19526,1
116973,1
219955,1
199611,1
222505,1
117542,1
116740,1
206693,1
220007,1
116707,1
116127,1
116695,1
197889,1
116671,1
60226,1
6139,1
206919,1
211234,1
172989,1
116742,1
116727,1
33545,1
183348,1
209971,1
177448,1
116851,1
223617,1
116092,1
116709,1
147368,1
160087,1
223447,1
128396,1
172349,1
223471,1
117253,1
116674,1
179256,1
220513,1
199621,1
116684,1
113194,1
174023,1
181315,1
109091,1
150824,1
114495,1
183338,1
209301,1
4246,1
13577,1
4992,1
18245,1
116749,1
10828,1
115132,1
220495,1
114421,1
223021,1
222959,1
114874,1
210723,1
112851,1
117189,1
114544,1
5565,1
200876,1
12028,1
111056,1
210601,1
124619,1
114408,1
115063,1
18721,1
116822,1
168948,1
116720,1
116824,1
206943,1
116807,1
222572,1
223484,1
200940,1
164208,1
223005,1
205424,1
53341,1
222643,1
116975,1
14982,1
174685,1
115196,1
195048,1
113480,1
5898,1
201913,1
175477,1
114681,1
116650,1
115602,1
116698,1
220475,1
223017,1
175831,1
115329,1
116790,1
16447,1
175964,1
116979,1
115745,1
195061,1
13579,1
4892,1
174073,1
115080,1
12076,1
224040,1
220462,1
206239,1
223500,1
115333,1
220469,1
8984,1
116959,1
211494,1
195050,1
6782,1
2843,1
220471,1
195051,1
209099,1
139936,1
223037,1
128313,1
223023,1
166785,1
223028,1
123818,1
222483,1
116597,1
195035,1
222423,1
194378,1
5028,1
206937,1
200266,1
195076,1
128622,1
40668,1
107684,1
223025,1
116928,1
223016,1
113165,1
201498,1
147073,1
115733,1
115330,1
195056,1
222780,1
219979,1
223031,1
128633,1
16106,1
115186,1
115343,1
67927,1
223476,1
211639,1
116126,1
223029,1
184020,1
219991,1
115630,1
110519,1
17799,1
115283,1
198685,1
7410,1
5510,1
188747,1
191370,1
197240,1
13773,1
223020,1
223019,1
113037,1
7409,1
222497,1
223018,1
2772,1
222893,1
115616,1
223033,1
115678,1
7826,1
194380,1
112952,1
147204,1
112951,1
210665,1
71162,1
114537,1
112932,1
114659,1
113441,1
116128,1
169518,1
172932,1
113166,1
113157,1
113161,1
116009,1
201578,1
6599,1
116901,1
203469,1
9178,1
115340,1
114561,1
14276,1
7927,1
220474,1
222662,1
206264,1
113179,1
219681,1
113965,1
14237,1
116506,1
12286,1
113158,1
223032,1
220433,1
65721,1
220491,1
114604,1
219855,1
6976,1
116948,1
113178,1
220480,1
117374,1
115633,1
220520,1
203894,1
1351,1
6877,1
5226,1
116562,1
139696,1
204025,1
223417,1
1981,1
115341,1
211294,1
176767,1
220468,1
206673,1
220443,1
127212,1
113172,1
220514,1
117565,1
182281,1
115618,1
116726,1
223292,1
115913,1
116008,1
116132,1
116905,1
115534,1
200728,1
164691,1
13419,1
220502,1
128265,1
117174,1
195299,1
220416,1
18380,1
72850,1
225218,1
195139,1
223073,1
180184,1
199224,1
117564,1
171223,1
206927,1
211150,1
174852,1
220527,1
2769,1
116617,1
116811,1
179266,1
194933,1
179265,1
191276,1
202589,1
123344,1
195135,1
8644,1
210498,1
220229,1
175295,1
5119,1
13925,1
114957,1
204534,1
222364,1
13275,1
203316,1
219976,1
127167,1
210020,1
220231,1
220424,1
220227,1
203364,1
222971,1
117566,1
5544,1
220224,1
206150,1
223038,1
113152,1
195009,1
115131,1
211109,1
219907,1
116001,1
186602,1
174666,1
181981,1
116517,1
223030,1
118815,1
115422,1
14728,1
220473,1
195566,1
124093,1
12285,1
116293,1
114713,1
220464,1
177283,1
206277,1
211129,1
222405,1
4028,1
220226,1
219906,1
220225,1
116133,1
114913,1
115123,1
219908,1
172973,1
115881,1
114591,1
195162,1
115167,1
219905,1
211035,1
211255,1
114764,1
220228,1
169993,1
164657,1
5214,1
127171,1
9370,1
115621,1
114485,1
206672,1
112805,1
114703,1
195177,1
19728,1
205746,1
113211,1
210708,1
117359,1
211468,1
116509,1
223078,1
202195,1
223042,1
116074,1
194944,1
127199,1
65678,1
9299,1
220505,1
153840,1
3696,1
220470,1
163432,1
220031,1
5314,1
128718,1
43863,1
36248,1
114838,1
116565,1
222402,1
12785,1
11920,1
188805,1
116846,1
63335,1
220531,1
200869,1
222327,1
171765,1
116502,1
118864,1
174264,1
222661,1
163434,1
192047,1
195017,1
110917,1
16034,1
163065,1
201863,1
196088,1
191575,1
177108,1
210645,1
222475,1
222441,1
114101,1
174570,1
1739,1
222432,1
202627,1
115046,1
186715,1
206438,1
220467,1
194760,1
16588,1
12012,1
192010,1
6714,1
220314,1
222360,1
16222,1
223249,1
210847,1
198137,1
9143,1
2859,1
167411,1
123154,1
195171,1
5937,1
220422,1
152677,1
1488,1
165855,1
201992,1
116540,1
116468,1
116539,1
109888,1
114973,1
202186,1
116548,1
12073,1
163431,1
220037,1
13667,1
137533,1
198366,1
57749,1
31393,1
8971,1
122819,1
163675,1
166270,1
166295,1
222784,1
116487,1
115772,1
115252,1
6558,1
163585,1
40809,1
222691,1
179714,1
128636,1
115603,1
222725,1
173818,1
124577,1
128568,1
187665,1
115496,1
113201,1
163576,1
114545,1
117602,1
115587,1
187052,1
222766,1
71037,1
18392,1
198136,1
222406,1
116602,1
13054,1
173090,1
116492,1
14595,1
122209,1
177355,1
116626,1
222521,1
188451,1
6312,1
213471,1
200868,1
173396,1
201834,1
6119,1
211030,1
116683,1
113214,1
114819,1
115567,1
202722,1
220301,1
176131,1
114481,1
163557,1
194386,1
163574,1
113175,1
116488,1
202203,1
200892,1
189965,1
114398,1
191536,1
177724,1
211029,1
113196,1
201877,1
194963,1
191275,1
115168,1
116545,1
200721,1
13877,1
188323,1
12377,1
191272,1
156885,1
115021,1
196515,1
197779,1
189269,1
210677,1
190256,1
189589,1
189168,1
191273,1
163436,1
14145,1
163598,1
189696,1
191271,1
191268,1
191269,1
191270,1
163582,1
191274,1
222716,1
172400,1
115430,1
187985,1
163458,1
116466,1
222479,1
2172,1
222472,1
187937,1
116289,1
111364,1
17250,1
163639,1
197913,1
210674,1
200934,1
222800,1
191695,1
116286,1
115458,1
222583,1
211389,1
114113,1
222829,1
202631,1
188069,1
211204,1
117125,1
186586,1
114500,1
200740,1
9273,1
115284,1
115429,1
1706,1
115699,1
1476,1
223044,1
115468,1
116933,1
202605,1
172069,1
127009,1
115450,1
222605,1
10933,1
220302,1
163710,1
7585,1
113499,1
123553,1
222520,1
34695,1
209923,1
115438,1
201852,1
171188,1
117120,1
116283,1
220173,1
222754,1
219638,1
116204,1
116292,1
172375,1
223623,1
172403,1
222456,1
43280,1
207076,1
115504,1
115414,1
163512,1
4576,1
174357,1
116290,1
209921,1
172345,1
163445,1
121820,1
31302,1
191753,1
163715,1
163686,1
167289,1
188121,1
163725,1
188369,1
188411,1
163638,1
163709,1
188754,1
186767,1
186997,1
190933,1
114559,1
5210,1
174541,1
133759,1
163718,1
114758,1
115917,1
111102,1
114771,1
6213,1
115563,1
172081,1
112879,1
13580,1
115099,1
181364,1
14482,1
115565,1
116936,1
115097,1
210685,1
114667,1
223266,1
197912,1
114747,1
163775,1
14863,1
114750,1
114886,1
115515,1
163772,1
163800,1
114751,1
116219,1
117129,1
115359,1
163831,1
114761,1
163973,1
191440,1
114760,1
211039,1
114677,1
164155,1
200720,1
114789,1
211444,1
137534,1
172088,1
114515,1
115200,1
222682,1
116598,1
5428,1
114748,1
192933,1
115935,1
115533,1
222720,1
163788,1
181385,1
114896,1
193158,1
163745,1
163771,1
114706,1
4725,1
163774,1
222450,1
188263,1
173013,1
115936,1
223101,1
222391,1
210508,1
114669,1
224506,1
222857,1
117133,1
163770,1
180113,1
222534,1
115206,1
116328,1
196131,1
115161,1
118020,1
114596,1
114776,1
193157,1
163879,1
114555,1
188998,1
164157,1
201864,1
164058,1
114682,1
163802,1
114690,1
163803,1
163919,1
116377,1
163806,1
9275,1
126566,1
115719,1
126567,1
117081,1
115573,1
191813,1
209139,1
111105,1
164201,1
171725,1
222458,1
126568,1
225597,1
126564,1
126581,1
203172,1
114914,1
117577,1
115395,1
222398,1
124143,1
145145,1
193170,1
193183,1
4105,1
114782,1
147306,1
116089,1
114768,1
115425,1
114921,1
115732,1
19986,1
114774,1
127761,1
115555,1
115835,1
114862,1
63291,1
114845,1
115381,1
115431,1
171721,1
115539,1
126562,1
202033,1
115536,1
116530,1
115804,1
203401,1
115098,1
201854,1
206908,1
115769,1
222764,1
220296,1
115318,1
164168,1
211479,1
164164,1
114799,1
164239,1
195030,1
210643,1
6791,1
115449,1
115462,1
222567,1
114105,1
18689,1
9482,1
113310,1
222403,1
164159,1
164180,1
115439,1
164203,1
128550,1
211497,1
116371,1
114822,1
3963,1
205771,1
223011,1
111106,1
174282,1
114650,1
164268,1
193177,1
115432,1
193184,1
193187,1
164252,1
164267,1
126588,1
188424,1
114809,1
116479,1
116243,1
115162,1
203310,1
114331,1
126580,1
197923,1
114811,1
201871,1
205142,1
171657,1
114812,1
10727,1
61446,1
3931,1
115864,1
116456,1
111107,1
63306,1
126563,1
14292,1
115192,1
115334,1
173017,1
114491,1
206917,1
136274,1
103909,1
205926,1
126586,1
211033,1
211498,1
210456,1
200856,1
115463,1
115576,1
111381,1
222384,1
223172,1
114454,1
126587,1
169715,1
209912,1
114272,1
127633,1
72518,1
201870,1
114932,1
116938,1
115802,1
220476,1
223079,1
188404,1
114824,1
172531,1
166916,1
173852,1
211445,1
126585,1
114575,1
207141,1
164272,1
128614,1
114840,1
117145,1
183871,1
164271,1
116628,1
114810,1
19933,1
115765,1
115784,1
167458,1
196320,1
115101,1
201844,1
172478,1
114830,1
172508,1
14486,1
222555,1
164541,1
205338,1
191106,1
4895,1
118027,1
115133,1
165697,1
172084,1
164317,1
116241,1
116235,1
210700,1
176995,1
2168,1
223487,1
18839,1
127509,1
4682,1
222757,1
171764,1
16636,1
172207,1
196331,1
164440,1
172328,1
164286,1
5832,1
133705,1
116955,1
172085,1
223544,1
164450,1
200986,1
172165,1
182261,1
172176,1
172288,1
172143,1
164451,1
172147,1
171714,1
172064,1
172099,1
210695,1
191828,1
223497,1
222548,1
164471,1
115394,1
174916,1
120582,1
147101,1
172192,1
172204,1
164281,1
6936,1
114779,1
115644,1
116475,1
172305,1
172122,1
6153,1
172142,1
164428,1
172172,1
172173,1
172182,1
172301,1
172126,1
172149,1
172292,1
164494,1
172213,1
188063,1
172253,1
172129,1
172100,1
127670,1
172316,1
172136,1
220299,1
116240,1
172067,1
164459,1
115681,1
182125,1
172124,1
206302,1
172190,1
222976,1
172319,1
172104,1
172324,1
203408,1
172154,1
172111,1
172115,1
172371,1
164490,1
164517,1
164499,1
203913,1
172167,1
172168,1
175196,1
172177,1
222118,1
164339,1
114453,1
128298,1
172232,1
188206,1
164549,1
126576,1
172098,1
172131,1
164504,1
164500,1
205330,1
111099,1
164526,1
223854,1
164568,1
115841,1
224590,1
164637,1
33889,1
5773,1
115817,1
164574,1
193169,1
172571,1
210662,1
115353,1
164591,1
164593,1
223483,1
115664,1
115465,1
202610,1
171723,1
172334,1
171727,1
116203,1
172526,1
172570,1
10785,1
172598,1
172472,1
199463,1
114987,1
172103,1
172521,1
172581,1
172450,1
172460,1
164588,1
209980,1
172515,1
115848,1
172601,1
172211,1
5823,1
4329,1
9981,1
113653,1
210697,1
110496,1
168061,1
114867,1
111108,1
172600,1
172482,1
230816,1
164636,1
164592,1
164581,1
164587,1
9749,1
220485,1
172354,1
114870,1
6696,1
223580,1
25436,1
167449,1
172491,1
187652,1
115209,1
223583,1
115815,1
164555,1
191852,1
6610,1
1432,1
115824,1
219736,1
171744,1
18399,1
109179,1
220315,1
202651,1
209917,1
167727,1
168346,1
168696,1
169001,1
169069,1
169110,1
169260,1
169366,1
172451,1
169367,1
172208,1
164628,1
172528,1
164630,1
164556,1
172542,1
172546,1
172548,1
172441,1
172462,1
172582,1
172125,1
172137,1
209918,1
196330,1
4875,1
164818,1
114860,1
202073,1
211026,1
209898,1
173015,1
115433,1
4078,1
195031,1
202652,1
209920,1
114972,1
222749,1
117840,1
211533,1
164851,1
223575,1
114831,1
172272,1
114888,1
219904,1
114832,1
115825,1
211469,1
111109,1
169377,1
169440,1
169509,1
174405,1
73534,1
171377,1
115364,1
169618,1
169661,1
169662,1
220463,1
198705,1
169976,1
170053,1
173432,1
223578,1
170193,1
170195,1
164846,1
165183,1
223467,1
170215,1
170674,1
170820,1
170822,1
171089,1
171092,1
171177,1
172529,1
171312,1
114917,1
171334,1
172405,1
187680,1
172231,1
114864,1
202653,1
115854,1
184031,1
172254,1
175158,1
169510,1
165158,1
222404,1
223489,1
42396,1
192974,1
121566,1
45426,1
175994,1
223076,1
165213,1
171666,1
211261,1
111112,1
164650,1
220295,1
165223,1
210680,1
164848,1
192964,1
164696,1
164782,1
211378,1
165276,1
164980,1
164787,1
117865,1
164847,1
4565,1
165221,1
192986,1
164638,1
10724,1
191752,1
10733,1
225594,1
3307,1
167457,1
222763,1
223584,1
196268,1
114865,1
115792,1
209215,1
191417,1
128825,1
199008,1
171746,1
199339,1
115822,1
115406,1
198666,1
169479,1
170799,1
165469,1
202612,1
201853,1
184032,1
117149,1
171722,1
115842,1
115803,1
213182,1
124161,1
116560,1
201841,1
200864,1
114871,1
171217,1
223579,1
4560,1
165408,1
117864,1
210663,1
10776,1
115335,1
5729,1
219646,1
173390,1
222933,1
115351,1
115816,1
111113,1
14001,1
171749,1
121551,1
114920,1
115840,1
123592,1
115082,1
195106,1
114970,1
15373,1
223577,1
172070,1
172071,1
7104,1
165479,1
165394,1
171769,1
115065,1
172080,1
19176,1
172087,1
172107,1
172127,1
209906,1
165651,1
115857,1
115853,1
115083,1
165650,1
114839,1
137331,1
222367,1
223470,1
4302,1
117571,1
172374,1
115085,1
163700,1
165427,1
165406,1
15977,1
162923,1
223498,1
173018,1
165803,1
165791,1
195734,1
172209,1
162951,1
177319,1
165739,1
211306,1
166299,1
194659,1
165708,1
187823,1
174968,1
171730,1
222967,1
202468,1
127613,1
114848,1
162927,1
114573,1
165652,1
212085,1
128435,1
225601,1
171739,1
10477,1
172105,1
172123,1
199363,1
223065,1
188092,1
210525,1
200345,1
166343,1
172223,1
117246,1
166339,1
165857,1
165683,1
191877,1
198150,1
172456,1
200890,1
171756,1
172458,1
172459,1
166155,1
220297,1
170104,1
166314,1
199613,1
165971,1
165715,1
194471,1
111114,1
168531,1
201878,1
199566,1
127713,1
213189,1
116194,1
172464,1
172156,1
174747,1
172157,1
170026,1
18617,1
115223,1
171759,1
172187,1
117262,1
165776,1
197344,1
127709,1
172477,1
171726,1
222439,1
172495,1
165726,1
172522,1
173925,1
222753,1
126906,1
195052,1
213200,1
166106,1
115084,1
166317,1
166335,1
165709,1
165666,1
165864,1
166004,1
165878,1
166126,1
162901,1
166072,1
162977,1
166342,1
165712,1
165719,1
166871,1
117270,1
166354,1
180771,1
222570,1
172545,1
115674,1
172550,1
163219,1
222969,1
166521,1
202108,1
115130,1
163078,1
111115,1
191487,1
166695,1
9318,1
163253,1
162986,1
19717,1
6458,1
117429,1
114829,1
117264,1
163299,1
163029,1
117226,1
166761,1
166367,1
188091,1
166866,1
166875,1
200919,1
210424,1
166436,1
194807,1
166769,1
166867,1
171736,1
195707,1
222932,1
121655,1
222653,1
166694,1
137897,1
191334,1
117255,1
144747,1
145055,1
8523,1
149406,1
139664,1
166352,1
163092,1
166360,1
191789,1
202083,1
172565,1
166757,1
166768,1
117248,1
166560,1
191520,1
9223,1
195084,1
172233,1
166859,1
117522,1
202538,1
166513,1
223473,1
169512,1
171724,1
9557,1
166696,1
198678,1
222469,1
115675,1
172249,1
163054,1
199335,1
163057,1
2476,1
223485,1
5779,1
191854,1
166349,1
166463,1
166502,1
166510,1
19148,1
14354,1
137488,1
166430,1
166758,1
166724,1
166869,1
166870,1
163045,1
166457,1
166573,1
166591,1
65725,1
166711,1
209113,1
10763,1
188216,1
223474,1
9307,1
166885,1
113541,1
166887,1
172183,1
223064,1
114837,1
202154,1
166886,1
7081,1
197356,1
167548,1
196117,1
19906,1
172444,1
6810,1
117249,1
202156,1
1284,1
222571,1
202184,1
166977,1
222884,1
185470,1
166981,1
191560,1
170545,1
200741,1
123615,1
205994,1
172475,1
174230,1
137678,1
166889,1
209119,1
13863,1
117247,1
32185,1
5508,1
222411,1
114939,1
178362,1
187887,1
150973,1
1339,1
166939,1
177185,1
146034,1
149751,1
116649,1
168024,1
61258,1
2572,1
222879,1
191567,1
222607,1
114834,1
172481,1
223469,1
222290,1
205356,1
210019,1
166976,1
10787,1
223468,1
166905,1
166903,1
163538,1
166924,1
166910,1
116368,1
137454,1
222563,1
5879,1
166925,1
34819,1
166933,1
172484,1
141372,1
205359,1
166907,1
166906,1
110731,1
20785,1
220294,1
2142,1
162902,1
166888,1
111116,1
198677,1
7039,1
222931,1
211482,1
220010,1
167158,1
7268,1
178558,1
178356,1
74660,1
178470,1
191792,1
203304,1
172502,1
137609,1
191725,1
115688,1
222318,1
219875,1
222442,1
195085,1
18428,1
191102,1
210648,1
114716,1
175230,1
222457,1
167257,1
202542,1
167163,1
178687,1
178252,1
177602,1
222631,1
189595,1
222774,1
10568,1
222488,1
222573,1
191289,1
16346,1
172300,1
202642,1
175080,1
177754,1
177758,1
206638,1
2947,1
206922,1
178666,1
24283,1
222451,1
114983,1
222323,1
177353,1
194442,1
222577,1
116324,1
222392,1
170466,1
126335,1
17071,1
46276,1
46038,1
46024,1
213434,1
124092,1
137973,1
13953,1
168409,1
222712,1
196089,1
202782,1
114826,1
206965,1
173477,1
218957,1
223060,1
167249,1
189704,1
167251,1
193002,1
167133,1
115490,1
2494,1
223855,1
192981,1
193103,1
188317,1
192982,1
193050,1
193000,1
86635,1
189169,1
204386,1
193064,1
199753,1
110918,1
202644,1
117765,1
168890,1
117422,1
117265,1
117753,1
169050,1
213199,1
169306,1
211534,1
169318,1
169434,1
181318,1
169484,1
222713,1
53364,1
9994,1
169525,1
220035,1
115820,1
117812,1
192940,1
116593,1
222361,1
176317,1
199737,1
114576,1
188443,1
117754,1
115847,1
19769,1
7705,1
7807,1
219899,1
232047,1
222823,1
143590,1
193042,1
211531,1
222452,1
113638,1
202646,1
211530,1
173408,1
118573,1
169642,1
223472,1
204843,1
202163,1
117759,1
